# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 28 14:40:53 2025
#
# User preference: *
#
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_icmag:       I (Cousins) Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
#
disposition,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_trandep,pl_trandur,pl_occdep,pl_rvamp,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_dens,st_vsin,st_rotp,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag
FALSE POSITIVE,0.84120200000,,82.00000000,7.30000000,,,,,,,0,,0.0000000,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6237.00,2.310000,,,,3.850000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m41.29s,244.1720262,-25d58m50.04s,-25.9805673,523.65700000,13.4310000,12.9490000,10.3810000,9.9870010,9.8280000,,,,,,9.7390000,9.6740000,9.7400000,8.6470000,12.2881000,,11.6089000,12.354
CANDIDATE,0.84112570000,,0.88400000,0.07886520,,,,,,,0,0.01500000,2.9200000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4289.00,0.660000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m39.10s,244.1629354,-25d52m12.25s,-25.8700704,676.49400000,14.6380000,13.8550000,11.2580000,10.8270000,10.6450000,,,,,,10.5490000,10.5340000,10.0800000,8.1070000,13.2366000,,12.4894000,13.226
CANDIDATE,0.17566000000,,3.11000000,0.27700000,,,,,,,0,,,,,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,,6620.00,1.150000,,0.0900,[Fe/H],4.190000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h15m49.29s,243.9553734,-25d49m06.54s,-25.8184824,555.17100000,13.3900000,12.7110000,10.3670000,10.0340000,9.8470000,,,,,,9.7310000,9.7090000,9.7340000,8.5870000,12.1885000,,11.5061000,12.160
CANDIDATE,29.33873041000,,,,,,,,,,0,1.27700000,5.0830000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3171.00,0.528528,0.525532,,,4.712530,5.018347,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h02m44.47s,240.6852933,-25d43m32.67s,-25.7257430,148.37400000,18.5700000,,12.2340000,11.5970000,11.3280000,,,,,,11.1950000,11.0060000,10.9250000,8.8320000,15.3988000,,14.0259000,14.629
FALSE POSITIVE,22.79840000000,,9.00000000,0.80000000,,,,,,,0,,2.1288000,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6195.00,1.370000,,,,4.180000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m03.84s,246.2660064,-25d39m08.76s,-25.6524338,,16.1820000,15.0350000,12.2040000,11.6810000,11.4690000,,,,,,11.3180000,11.3050000,11.0450000,8.3950010,14.4889000,,13.6855000,14.674
CANDIDATE,1.68027000000,,2.90000000,0.26000000,,,,,,,0,0.02620000,2.6160000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.275000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m09.29s,253.0387290,-25d31m50.43s,-25.5306763,247.38600000,12.3440000,11.7130000,10.2650000,9.8840000,9.7870000,,,,,,9.7390000,9.7900000,9.7930000,8.8610000,11.4576000,,10.9644000,11.553
CANDIDATE,2.54427583000,,,,,,,,,,0,0.01200000,2.1460000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8188.00,3.238260,2.003000,,,3.719130,0.083160,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h48m53.36s,252.2223357,-25d30m28.64s,-25.5079566,354.00100000,8.8150000,8.6410000,8.1510000,8.1180000,8.0610000,,,,,,8.0020000,8.0250000,8.0600000,8.0450000,8.6024000,,8.4652500,8.694
CANDIDATE,0.70995040000,,80.00000000,7.00000000,,,,,,,0,1.65120000,2.1720000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,2.065000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h56m54.12s,239.2255102,-25d28m25.84s,-25.4738433,685.82100000,12.4520000,12.6110000,11.1800000,10.9460000,10.8470000,,,,,,10.7990000,10.8110000,10.8280000,8.1460000,12.3351000,,11.8903000,12.304
FALSE POSITIVE,1.82040000000,,,,,,,,,,0,0.50000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3112.00,0.513900,0.511624,,,4.725260,5.314721,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m31.61s,242.6317089,-25d16m02.15s,-25.2672637,161.73700000,18.9710000,,12.5700000,11.9080000,11.6030000,,,,,,11.4520000,11.2460000,11.1690000,8.9950000,15.8035000,,14.3909000,15.092
FALSE POSITIVE,2.80900000000,,,,,,,,,,0,4.73000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,2901.00,0.474383,0.472176,,,4.759910,6.235662,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m30.66s,244.1277536,-25d12m20.55s,-25.2057083,166.16800000,20.3260000,,12.9320000,12.2770000,11.9070000,,,,,,11.7480000,11.4830000,11.5590000,8.8460000,16.6459000,,15.0850000,14.268
FALSE POSITIVE,1.40441100000,,99.00000000,8.80000000,,,,,,,0,,2.2850400,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6933.00,2.020000,,,,4.020000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m30.66s,244.1277536,-25d12m20.55s,-25.2057083,166.16800000,20.3260000,,12.9320000,12.2770000,11.9070000,,,,,,11.7480000,11.4830000,11.5590000,8.8460000,16.6459000,,15.0850000,14.268
FALSE POSITIVE,1.40442830000,,3.66000000,0.32652333,,,,,,,0,7.26000000,2.4500000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,2721.00,0.120000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m30.66s,244.1277536,-25d12m20.55s,-25.2057083,166.16800000,20.3260000,,12.9320000,12.2770000,11.9070000,,,,,,11.7480000,11.4830000,11.5590000,8.8460000,16.6459000,,15.0850000,14.268
CANDIDATE,3.40085800000,,14.10000000,1.26000000,,,,,,,0,0.34040000,2.2800000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.983000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h51m26.83s,252.8617981,-25d03m12.64s,-25.0535105,279.96800000,11.7670000,11.2010000,9.8110000,9.5620000,9.4770000,,,,,,9.2120000,9.2250000,9.2490000,8.6220000,10.9750000,,10.5058000,11.106
CANDIDATE,3.40077580000,,5.57000000,0.49692212,,,,,,,0,0.33100000,2.2900000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,5520.00,0.890000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h51m26.83s,252.8617981,-25d03m12.64s,-25.0535105,279.96800000,11.7670000,11.2010000,9.8110000,9.5620000,9.4770000,,,,,,9.2120000,9.2250000,9.2490000,8.6220000,10.9750000,,10.5058000,11.106
CANDIDATE,,,7.51000000,0.67000000,,,,,,,0,0.31450000,6.5448000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.249000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m17.63s,242.5734559,-24d59m26.17s,-24.9906029,170.56200000,12.2200000,11.2750000,9.6350000,9.2940000,9.1800000,,,,,,9.1220000,9.1660000,9.1050000,8.6740000,10.9072000,,10.3710000,11.648
CANDIDATE,,,,,,,,,,,0,0.57010000,14.6640000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3095.00,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h53m42.26s,253.4260962,-24d56m27.19s,-24.9408867,867.30600000,11.9430000,10.0150000,4.8650000,3.6630000,3.4470000,,,,,,3.3220000,2.8980000,2.6000000,1.9720000,8.1822600,,6.7492000,8.312
FALSE POSITIVE,8.27810000000,,,,,,,,,,0,0.26000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6520.00,,,-0.0664,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h28m32.89s,247.1370292,-24d47m55.45s,-24.7987348,,18.7710000,14.8020000,12.0330000,11.0910000,10.6570000,,,,,,10.3980000,10.3100000,10.4970000,8.0890000,,,14.1990000,13.468
FALSE POSITIVE,8.27580000000,,10.20000000,0.91000000,,,,,,,0,,2.6088000,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5926.00,1.600000,,,,4.160000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h28m32.89s,247.1370292,-24d47m55.45s,-24.7987348,,18.7710000,14.8020000,12.0330000,11.0910000,10.6570000,,,,,,10.3980000,10.3100000,10.4970000,8.0890000,,,14.1990000,13.468
FALSE POSITIVE,8.27663950000,,0.72400000,0.06459095,,,,,,,0,0.37100000,2.4400000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,2586.00,0.110000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h28m32.89s,247.1370292,-24d47m55.45s,-24.7987348,,18.7710000,14.8020000,12.0330000,11.0910000,10.6570000,,,,,,10.3980000,10.3100000,10.4970000,8.0890000,,,14.1990000,13.468
FALSE POSITIVE,0.61990000000,,,,,,,,,,0,2.52000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,2978.00,0.596423,0.585161,,,4.654230,3.888456,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m52.87s,242.4702944,-24d41m53.96s,-24.6983209,147.46500000,18.8620000,,11.8830000,11.2800000,10.9260000,,,,,,10.7710000,10.5420000,10.4020000,8.3570000,15.4752000,,13.9624000,14.390
CANDIDATE,28.46762000000,,37.00000000,3.30000000,,,,,,,0,3.14450000,7.6200000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.970000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m59.36s,253.2473212,-24d37m34.64s,-24.6262888,450.60300000,12.6290000,12.1370000,10.7890000,10.5350000,10.4650000,,,,,,10.3090000,10.3730000,10.3240000,8.8150000,11.9423000,,11.4946000,11.858
CANDIDATE,28.46563300000,,18.40000000,1.64153805,,,,,,,0,3.09000000,7.6300000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,5700.00,0.960000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m59.36s,253.2473212,-24d37m34.64s,-24.6262888,450.60300000,12.6290000,12.1370000,10.7890000,10.5350000,10.4650000,,,,,,10.3090000,10.3730000,10.3240000,8.8150000,11.9423000,,11.4946000,11.858
FALSE POSITIVE,4.54170000000,,,,,,,,,,0,7.19000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,2897.00,0.641751,0.620907,,,4.616360,3.312020,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h17m18.97s,244.3290388,-24d37m19.07s,-24.6219639,,19.3170000,,11.8580000,11.1370000,10.7600000,,,,,,10.5350000,10.2860000,10.1500000,8.6380000,15.6318000,,14.0590000,13.324
CANDIDATE,83830.00000000000,,12.00000000,1.07000000,,,,,,,0,,,,,<a refstr=OSBORN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.2273O/abstract target=ref>Osborn et al. 2016</a>,,4000.00,0.740000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h17m31.38s,244.3807553,-24d26m13.22s,-24.4370060,446.90500000,10.5330000,9.5380000,7.0880000,6.5320000,6.3210000,,,,,,6.2180000,6.1860000,6.2210000,6.1290000,9.0529900,,8.2993000,9.039
CANDIDATE,8.79689000000,,4.85000000,0.43300000,,,,,,,0,0.05270000,6.9600000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,2.047000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m07.89s,253.0328697,-24d23m16.67s,-24.3879636,377.55300000,12.9660000,12.1660000,10.3240000,9.9050000,9.8420000,,,,,,9.7600000,9.7910000,9.6580000,7.9070000,11.7872000,,11.1843000,11.865
CANDIDATE,1.15388600000,,99.00000000,8.80000000,,,,,,,0,,2.7696000,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6841.00,1.800000,,,,4.090000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m41.46s,252.4227596,-24d22m25.63s,-24.3737862,588.01800000,12.1460000,12.2300000,10.7860000,10.5880000,10.5190000,,,,,,10.4510000,10.4760000,10.4130000,8.3740000,11.8670000,,11.4530000,11.160
CANDIDATE,1.63989340000,,33.00000000,2.94406281,,,,,,,0,14.60000000,4.0600000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,5175.00,0.790000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h15m17.86s,243.8244349,-24d19m09.38s,-24.3192726,441.99100000,13.0840000,12.5050000,10.7960000,10.4920000,10.3420000,,,,,,10.2990000,10.3050000,10.3680000,8.8190000,12.1274000,,11.5925000,12.080
FALSE POSITIVE,1.48624300000,,58.00000000,5.20000000,,,,,,,0,,3.1948800,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5991.00,1.870000,,,,3.984000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h48m58.52s,252.2438413,-23d53m29.40s,-23.8914989,809.46400000,18.1130000,16.4710000,12.6780000,12.0240000,11.6920000,,,,,,11.5250000,11.5200000,11.5430000,8.3080000,15.5411000,,14.4112000,15.218
CANDIDATE,23.21058500000,,5.70000000,0.50851994,,,,,,,0,0.41900000,2.0500000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,5244.00,0.810000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h11m00.78s,242.7532415,-23d50m25.25s,-23.8403470,239.55000000,12.5470000,11.8480000,10.2880000,9.9460000,9.8470000,,,,,,9.7540000,9.7470000,9.8020000,8.4540010,11.5816000,,11.0751000,11.583
CANDIDATE,23.21037000000,,15.30000000,1.36000000,,,,,,,0,0.45330000,2.4408000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.207000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h11m00.78s,242.7532415,-23d50m25.25s,-23.8403470,239.55000000,12.5470000,11.8480000,10.2880000,9.9460000,9.8470000,,,,,,9.7540000,9.7470000,9.8020000,8.4540010,11.5816000,,11.0751000,11.583
CANDIDATE,1.33002300000,,44.00000000,3.90000000,,,,,,,0,0.28360000,1.7352000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,2.400000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m25.01s,253.1042177,-23d34m10.12s,-23.5694775,336.97400000,10.9060000,10.6620000,9.3300000,9.1570000,9.0320000,,,,,,8.9380000,8.9350000,9.0150000,8.5320000,10.3709000,,9.9858000,10.688
CANDIDATE,50.73641000000,,10.31000000,0.91980000,,,,,,,0,0.39380000,5.0328000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.349000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m27.79s,242.3657824,-23d33m16.22s,-23.5545059,334.81700000,12.8770000,12.2510000,10.7890000,10.4930000,10.3980000,,,,,,10.3510000,10.3830000,10.0460000,8.9520000,11.9874000,,11.5078000,12.006
FALSE POSITIVE,1.12400000000,,,,,,,,,,0,0.62000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3074.00,0.505470,0.503436,,,4.732620,5.495714,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h15m59.25s,243.9968794,-23d29m36.72s,-23.4935346,138.15000000,18.8730000,17.1850000,12.2620000,11.6180000,11.3120000,,,,,,11.1690000,10.9610000,11.0370000,8.4120000,15.6597000,,14.2184000,14.757
FALSE POSITIVE,0.74740000000,,,,,,,,,,0,0.17000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m35.07s,246.3961379,-23d24m19.13s,-23.4053136,133.31200000,7.5110000,7.2700000,6.1080000,5.9210000,5.7750000,,,,,,6.2910000,6.1200000,5.8960000,5.6600000,7.0750400,,6.8619700,7.281
CANDIDATE,46.13730000000,,2.60000000,0.23000000,,,,,,,0,0.11370000,6.9360000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.723000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h57m03.00s,239.2624997,-23d16m50.68s,-23.2807451,290.68300000,14.9200000,14.0030000,11.8180000,11.2900000,11.1980000,,,,,,11.1230000,11.1270000,10.9560000,8.9540010,13.5312000,,12.8713000,13.468
CANDIDATE,1.95700000000,,,,,,,,,,0,0.01000000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3913.00,45.373100,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h34m39.21s,248.6633692,-22d58m15.14s,-22.9708723,1236.49000000,14.8590000,12.9710000,7.4840000,6.1790000,5.7430000,,,,,,5.5290000,5.3670000,5.4180000,5.3020000,11.1065000,,9.7381000,11.466
CANDIDATE,22.63980000000,,1.27000000,0.11300000,,,,,,,0,0.02000000,3.7440000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.862000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h29m43.27s,247.4302723,-22d50m50.54s,-22.8473721,94.25910000,10.8130000,10.1650000,8.9530000,8.6850000,8.5900000,,,,,,8.5440000,8.5790010,8.5770000,8.4620000,10.0371000,,9.5961000,10.041
